time_ps,Mx_eA,My_eA,Mz_eA,M_mag_eA
398.0000,29.712749,-12.807643,1.728800,32.401727
399.0000,31.409953,-9.099642,2.081643,32.767695
400.0000,29.458353,-12.842048,-8.812861,33.322354
401.0000,36.589457,-19.274428,-9.430878,42.417372
402.0000,40.255172,-11.636785,-12.155820,43.630925
403.0000,30.552555,-4.376177,-9.550472,32.308220
404.0000,33.592539,-4.217692,-15.193710,37.109250
405.0000,27.969568,-5.885575,-15.421738,32.477173
406.0000,32.463361,-9.730789,-15.614388,37.314436
407.0000,31.333225,-7.976301,-8.952333,33.549018
408.0000,35.510347,-15.410811,-16.834186,42.212174
409.0000,37.199526,-19.997172,-12.959259,44.177302
410.0000,36.708914,-20.863680,-11.532207,43.770188
411.0000,35.267884,-24.679852,-11.854863,44.648141
412.0000,26.505166,-23.389877,-8.187599,36.285630
413.0000,28.116549,-28.237379,-9.672452,41.005441
414.0000,16.264223,-16.478342,-9.473584,25.016185
415.0000,16.003894,-14.779048,-12.171961,24.953988
416.0000,10.294151,-25.065728,-8.629786,28.438240
417.0000,16.639883,-23.827346,-10.664422,30.957358
418.0000,21.314251,-30.676206,-9.145917,38.457440
419.0000,22.357905,-22.319340,-9.860849,33.094791
420.0000,17.521278,-26.757726,-13.708859,34.798044
421.0000,14.996797,-20.359418,-5.414306,25.859709
422.0000,18.412779,-19.904298,-10.517523,29.083153
423.0000,14.782244,-13.443582,-6.934867,21.150343
424.0000,17.393736,-17.878642,-17.168838,30.281296
425.0000,9.839288,-26.847264,-17.440879,33.492856
426.0000,-2.103346,-26.788665,-19.494435,33.197735
427.0000,8.676881,-13.923408,-21.870058,27.339513
428.0000,15.112178,-21.146225,-30.859002,40.346236
429.0000,16.492188,-31.719499,-18.576638,40.289085
430.0000,11.365956,-15.480656,-24.011870,30.747448
431.0000,4.647413,-16.611805,-21.016296,27.188880
432.0000,7.375966,-13.515424,-16.544165,22.600464
433.0000,3.691716,-3.556794,-25.985568,26.486398
434.0000,-6.392386,-10.295387,-25.091875,27.865028
435.0000,-4.921759,-6.769390,-27.227487,28.484810
436.0000,4.854738,-1.312312,-11.912950,12.930933
437.0000,5.236278,-4.986584,-17.068482,18.536928
438.0000,3.249699,0.562811,-16.489240,16.815835
439.0000,-1.477443,-0.895195,-22.967432,23.032307
440.0000,-7.198363,-2.088225,-23.507221,24.673195
441.0000,-8.979086,3.840355,-22.675772,24.689328
442.0000,-12.916792,-9.029597,-31.719877,35.419313
443.0000,-16.066627,-8.127828,-25.098677,30.889184
444.0000,-11.953120,-7.901666,-20.428169,24.952425
445.0000,-15.463372,2.356206,-25.826655,30.194101
446.0000,-9.246686,-6.695625,-22.512512,25.241747
447.0000,-7.808334,-2.339296,-20.551127,22.108623
448.0000,-19.789474,-0.542333,-10.323849,22.327097
449.0000,-2.300892,3.964323,-4.993455,6.778241
450.0000,1.023128,8.458118,-3.624014,9.258511
451.0000,0.403701,-4.079671,3.173861,5.184601
452.0000,0.665700,-10.386412,-1.444934,10.507547
453.0000,15.803059,-11.393200,10.964607,22.355408
454.0000,4.822133,-1.594597,-9.010345,10.343211
455.0000,7.910893,-6.152105,-1.917884,10.203377
456.0000,5.502955,-0.394333,-5.896413,8.075005
457.0000,1.139356,-3.237857,-6.804942,7.621620
458.0000,-2.966822,-3.341520,-15.472536,16.104880
459.0000,5.518262,-5.866500,-9.898093,12.760850
460.0000,2.229374,-3.365605,-17.026994,17.499027
461.0000,-1.270227,-10.120941,-11.994517,15.745328
462.0000,2.925944,-2.764480,-21.109032,21.489410
463.0000,6.753055,-7.700270,-13.681355,17.090271
464.0000,2.779388,-2.308229,-9.630661,10.286036
465.0000,5.889159,1.940250,-11.571783,13.128325
466.0000,8.818867,-8.076094,-12.601942,17.372526
467.0000,13.525492,-5.446734,-13.321254,19.749979
468.0000,12.922660,-4.589030,-14.257600,19.782151
469.0000,3.116778,-9.077699,-13.158893,16.287277
470.0000,8.706438,-4.586519,-25.860160,27.669227
471.0000,4.735324,-3.335552,-17.928419,18.840844
472.0000,-13.090919,5.742193,-23.044094,27.117803
473.0000,-8.483845,-0.483598,-22.192088,23.763380
474.0000,-8.130526,2.894451,-23.033725,24.597475
475.0000,-10.242429,1.188589,-26.163416,28.121957
476.0000,-2.090280,6.114127,-21.363236,22.319043
477.0000,-6.806034,5.510424,-24.388929,25.913447
478.0000,-8.179384,6.548603,-15.588852,18.782940
479.0000,-11.362290,3.692863,-14.436273,18.738859
480.0000,-9.694546,10.897507,-18.855756,23.838611
481.0000,-17.288387,12.629698,-18.945064,28.588688
482.0000,-10.744543,2.976801,-13.657339,17.630357
483.0000,-11.209149,-4.083242,-16.024965,19.977922
484.0000,-14.706754,6.643498,-20.605435,26.172670
485.0000,-9.694373,5.456418,-19.419420,22.380063
486.0000,-14.309032,-0.550428,-12.114134,18.756428
487.0000,-9.445157,2.633516,-19.861023,22.149642
488.0000,-12.706839,-6.612202,-21.199519,25.585242
489.0000,-13.206508,-9.142276,-14.580626,21.693034
490.0000,-12.693666,-4.911747,-16.189946,21.151093
491.0000,-20.147908,-5.066244,-5.703733,21.543853
492.0000,-26.361697,-9.069582,-17.821640,33.087872
493.0000,-16.081081,-10.494161,-0.271190,19.204222
494.0000,-5.295830,-17.006951,-4.687445,18.418858
495.0000,-15.273768,-21.242670,-15.302910,30.310362
496.0000,-12.771798,-13.196589,-14.808267,23.591388
497.0000,-10.880975,-22.295739,-15.364859,29.181750
498.0000,-9.819946,-24.993760,-8.773082,28.250422
499.0000,-18.066587,-22.166053,-8.592855,29.859214
500.0000,-13.235395,-24.446924,-1.721463,27.853029
501.0000,-13.722194,-27.380819,-6.377543,31.283877
502.0000,-14.132145,-20.116136,-3.862383,24.885627
503.0000,-20.018905,-10.040371,-3.301558,22.637710
504.0000,-13.029106,-16.389820,-2.066067,21.039307
505.0000,-23.575228,-12.184825,-9.315739,28.125510
506.0000,-15.553085,-10.738517,-8.852146,20.870426
507.0000,-6.581656,-4.972541,-6.348857,10.409243
508.0000,-6.567406,-7.790451,-7.825862,12.847804
509.0000,-8.281515,-7.489937,2.441656,11.429975
510.0000,-7.681476,-0.824968,5.323080,9.381941
511.0000,-8.182808,-8.216422,7.320615,13.713473
512.0000,-2.352008,-4.481665,2.895864,5.831234
513.0000,-2.795122,-0.945413,12.181394,12.533670
514.0000,-5.431238,2.070206,7.534814,9.516171
515.0000,-5.816938,-9.413733,20.827517,23.584754
516.0000,-7.239657,-8.782262,12.116374,16.623696
517.0000,5.929418,-5.242356,6.524304,10.257038
518.0000,-1.684192,-10.690079,9.166898,14.182606
519.0000,-9.829271,-1.577314,5.878899,11.561312
