#"Step"	"Acceleration (nm/ps^2)"	"VelocityAmplitude (nm/ps)"	"1/Viscosity (1/Pa.s)"
12200	0.02	0.012199374368187138	1606.8302743990328
12250	0.02	0.008657021990848885	1140.252327800421
12300	0.02	0.006182480309989701	814.3201637350537
12350	0.02	0.002711199558548808	357.1033562158726
12400	0.02	0.004690913405116957	617.8596907052927
12450	0.02	0.0019818097545474924	261.03239523580936
12500	0.02	0.005292150063712183	697.0510685540313
12550	0.02	0.007140584262805376	940.5160153371048
12600	0.02	0.012600978820441873	1659.7272650757964
12650	0.02	0.015904836841361226	2094.8921292817126
12700	0.02	0.015871754858013985	2090.5347638320436
12750	0.02	0.014294766338387496	1882.8230550805313
12800	0.02	0.013425161491942988	1768.2837884051041
12850	0.02	0.01239976965730913	1633.225170374015
12900	0.02	0.012681671983837899	1670.3556968271728
12950	0.02	0.012736016282951327	1677.513610210351
13000	0.02	0.014083585863889725	1855.0075975379002
13050	0.02	0.014719516026654715	1938.7686009381214
13100	0.02	0.014903720497257737	1963.0309369490926
13150	0.02	0.016511566652199865	2174.8070330310597
13200	0.02	0.017590639915207557	2316.936254986642
13250	0.02	0.014935566729951371	1967.2255365468495
13300	0.02	0.01661000040250661	2187.7721511790837
13350	0.02	0.014424217868639903	1899.8736538734727
13400	0.02	0.015294980926058242	2014.5654733274876
13450	0.02	0.01756237183671766	2313.2129489427593
13500	0.02	0.016354680873268333	2154.1429553823527
13550	0.02	0.016165931373470502	2129.2819746960213
13600	0.02	0.014652138275575337	1929.8939974553725
13650	0.02	0.01471062354729765	1937.5973355425238
13700	0.02	0.011168801747658497	1471.0892735366872
13750	0.02	0.007036515938191813	926.8087440010333
13800	0.02	0.006892437368877996	907.8315571323967
13850	0.02	0.0033650665774143064	443.22689744303284
13900	0.02	0.0036612589885080464	482.2396302954463
13950	0.02	-0.00021838518245374862	-28.764419555966594
14000	0.02	-0.004299209055177998	-566.2666836296976
14050	0.02	-0.005361731726586348	-706.2159584143504
14100	0.02	-0.008771224836740928	-1155.294459033019
14150	0.02	-0.011552113112835676	-1521.5768057247371
14200	0.02	-0.014762859730044002	-1944.477580161851
14250	0.02	-0.014907339192026973	-1963.507570269255
14300	0.02	-0.01342997358825012	-1768.9176095992295
14350	0.02	-0.010801344352239506	-1422.689933563092
14400	0.02	-0.009048031296520879	-1191.753787708391
14450	0.02	-0.009565058468957905	-1259.8535843278958
14500	0.02	-0.011446144947601404	-1507.6192984885477
14550	0.02	-0.013811896143996754	-1819.2222159280486
14600	0.02	-0.011252008936693234	-1482.0488380482343
14650	0.02	-0.01377103946689273	-1813.840813267492
14700	0.02	-0.012883233706657794	-1696.904228629887
14750	0.02	-0.019304641541206667	-2542.6945291327775
14800	0.02	-0.019300164384625125	-2542.104824241255
14850	0.02	-0.02491731667915806	-3281.9632866803227
14900	0.02	-0.020552192695773287	-2707.0146740450123
14950	0.02	-0.016390518822668825	-2158.8633205692154
15000	0.02	-0.014152419070734033	-1864.0739051454307
15050	0.02	-0.010524256566617693	-1386.193550292457
15100	0.02	-0.010639315048676394	-1401.3483809188895
15150	0.02	-0.0106231331895902	-1399.2170010389868
15200	0.02	-0.011758978284715381	-1548.8238768337173
15250	0.02	-0.014773145020002742	-1945.8322984275492
15300	0.02	-0.00953911037568107	-1256.435853173675
15350	0.02	-0.00866347128408516	-1141.1017910030218
15400	0.02	9.121248941616343e-05	12.013975878909966
15450	0.02	-0.0011474371329019705	-151.13371124379202
15500	0.02	0.0010123323086722509	133.33849361723975
15550	0.02	0.005792988860676506	763.018626993297
