SMILES,Temperature [K],Exp Density [g/mL],Sim Density [g/mL],Sim Density std [g/mL],Similarity
C=CC(=O)OCCOCCOCC,298,1.13,1.0398,0.0006,0.9698
Fc1cccnc1,298,1.13,1.1843,0.00061,0.9749
O=C1CCCO1,293,1.1296,1.142,0.00098,0.9764
OCc1ccco1,293,1.1296,1.181,0.00048,0.9484
COC(=O)CCCCl,293,1.1293,1.1468,0.0008,0.9922
O=C1CCOc2ccccc21,373,1.1291,1.144,0.00044,0.9082
O=Cc1ccc(O)cc1,403,1.129,1.1475,0.00071,0.9775
COc1ccccc1O,294,1.1287,1.1716,0.00047,0.9706
OCCOCCOCCOCCO,288,1.1285,1.1475,0.00055,0.991
Fc1ccccn1,293,1.128,1.1909,0.00083,0.9489
OCCOCCOCCO,288,1.1274,1.1474,0.00069,0.991
C=C(CC(=O)OC)C(=O)OC,291,1.1241,1.1487,0.00065,0.9525
CSCCCl,293,1.123,1.1246,0.00054,0.9534
COC(=O)CC#N,298,1.1225,1.1713,0.00041,0.9548
O=C(Cl)CCCCCCCCC(=O)Cl,293,1.1212,1.2409,0.00063,0.8895
CCc1ccccc1[N+](=O)[O-],293,1.1207,1.1475,0.00067,0.9464
CCOC(=O)OC(=O)OCC,293,1.12,1.1466,0.00108,0.971
N#CC(O)c1ccccc1,298,1.12,1.1835,0.0005,0.9303
Oc1ccccc1F,298,1.12,1.2593,0.00093,0.9678
OCCOCCO,288,1.1197,1.1541,0.00075,0.9907
C(OCC1CO1)C1CO1,293,1.1195,1.1806,0.00068,0.884
CCc1ccc([N+](=O)[O-])cc1,293,1.1192,1.1577,0.00075,0.9492
O=Cc1cccc(O)c1,403,1.1179,1.147,0.00058,0.9654
CCOc1ccc([N+](=O)[O-])cc1,373,1.1176,1.1551,0.001,0.9554
CC(=O)OCc1ccco1,293,1.1175,1.1665,0.00041,0.9476
C1CSCCO1,293,1.1174,1.1598,0.00044,0.9308
C=CC(Cl)CCl,293,1.117,1.1536,0.00062,0.9299
CC(Cl)CCCl,293,1.1158,1.1236,0.00076,0.9648
CN(C)P(=O)(F)N(C)C,293,1.1151,1.157,0.00071,0.8761
