#"Step"	"Acceleration (nm/ps^2)"	"VelocityAmplitude (nm/ps)"	"1/Viscosity (1/Pa.s)"
18950	0.02	0.005750430406242083	784.3759728342958
19000	0.02	0.0025943434441356226	353.87623518601873
19050	0.02	-0.002189006761309282	-298.5870946423443
19100	0.02	-0.004725786992101464	-644.6115346972164
19150	0.02	-0.0071790387800683515	-979.242444360119
19200	0.02	-0.010182122502241726	-1388.8720806957988
19250	0.02	-0.011847384568906986	-1616.0188264675141
19300	0.02	-0.0172730813521407	-2356.1001581245678
19350	0.02	-0.01619503553348926	-2209.0514716737625
19400	0.02	-0.012890873529794868	-1758.3538537638733
19450	0.02	-0.012731991305604972	-1736.6818413472463
19500	0.02	-0.01485660506319685	-2026.4855369452803
19550	0.02	-0.01834118867430086	-2501.7932038140493
19600	0.02	-0.018820735367800857	-2567.2048126260133
19650	0.02	-0.02324841925262163	-3171.1541884482344
19700	0.02	-0.02404500464339735	-3279.81082746382
19750	0.02	-0.024426853063816808	-3331.8960984926857
19800	0.02	-0.024651997143428913	-3362.606426937306
19850	0.02	-0.022430532046577356	-3059.5919178722224
19900	0.02	-0.022663966053875252	-3091.433017343341
19950	0.02	-0.016967399642375324	-2314.40425511623
20000	0.02	-0.01723019948507875	-2350.2509427063346
20050	0.02	-0.01384581128666416	-1888.610230960871
20100	0.02	-0.020174392522587667	-2751.8477128370046
20150	0.02	-0.02055538636018146	-2803.816416202601
20200	0.02	-0.020027834611053525	-2731.856773669848
20250	0.02	-0.018899110001971583	-2577.8953480434075
20300	0.02	-0.01804821519521887	-2461.8307416268476
20350	0.02	-0.0167542262597959	-2285.326765688376
20400	0.02	-0.0122029104660461	-1664.513626288684
20450	0.02	-0.009332002296668248	-1272.9131322057929
20500	0.02	-0.007520651117950743	-1025.8393929238016
20550	0.02	-0.006099604128539598	-832.0043169349368
20600	0.02	0.0013653334874240918	186.23558704040929
20650	0.02	0.0052134898602017345	711.135670213225
20700	0.02	0.0055792312264232695	761.023890688749
20750	0.02	0.007962208777765656	1086.0691834806612
20800	0.02	0.007878794905504718	1074.6912808576633
20850	0.02	0.010734506496969979	1464.2189160861979
20900	0.02	0.007447980076575187	1015.926844688463
20950	0.02	0.0031267513764957366	426.49827569212545
21000	0.02	0.00045192993370966655	61.64459985841542
21050	0.02	-0.0035941152080514044	-490.2481055563577
21100	0.02	-0.005021166648993963	-684.902206762218
21150	0.02	-0.0052626622390739815	-717.8429303293769
